Timestamp,Service,Raw_Prediction,Rounded_Prediction,Clamped_Prediction,Previous_Replicas,Action_Taken,Skip_Reason
2026-06-19 17:22:36,adservice,3.5829,4,4,1,SCALED (14),
2026-06-19 17:22:36,cartservice,3.6714,4,4,1,SCALED (14),
2026-06-19 17:22:36,checkoutservice,3.6069,4,4,1,SCALED (14),
2026-06-19 17:22:36,currencyservice,3.6176,4,4,1,SCALED (14),
2026-06-19 17:22:36,emailservice,3.6239,4,4,1,SCALED (14),
2026-06-19 17:22:36,frontend,3.6590,4,4,1,SCALED (14),
2026-06-19 17:22:36,paymentservice,3.6471,4,4,1,SCALED (14),
2026-06-19 17:22:36,productcatalogservice,3.7395,4,4,1,SCALED (14),
2026-06-19 17:22:36,recommendationservice,3.6750,4,4,1,SCALED (14),
2026-06-19 17:22:36,shippingservice,3.7576,4,4,1,SCALED (14),
2026-06-19 17:23:06,adservice,3.5972,4,N/A,4,SKIPPED,Cooldown: 89s remaining
2026-06-19 17:23:06,cartservice,3.6904,4,N/A,4,SKIPPED,Cooldown: 89s remaining
2026-06-19 17:23:06,checkoutservice,3.6387,4,N/A,4,SKIPPED,Cooldown: 89s remaining
2026-06-19 17:23:06,currencyservice,3.6324,4,N/A,4,SKIPPED,Cooldown: 89s remaining
2026-06-19 17:23:06,emailservice,3.6374,4,N/A,4,SKIPPED,Cooldown: 89s remaining
2026-06-19 17:23:06,frontend,3.6859,4,N/A,4,SKIPPED,Cooldown: 90s remaining
2026-06-19 17:23:06,paymentservice,3.6608,4,N/A,4,SKIPPED,Cooldown: 90s remaining
2026-06-19 17:23:06,productcatalogservice,3.7493,4,N/A,4,SKIPPED,Cooldown: 90s remaining
2026-06-19 17:23:06,recommendationservice,3.6881,4,N/A,4,SKIPPED,Cooldown: 90s remaining
2026-06-19 17:23:06,shippingservice,3.7697,4,N/A,4,SKIPPED,Cooldown: 90s remaining
2026-06-19 17:23:36,adservice,3.5657,4,N/A,4,SKIPPED,Cooldown: 59s remaining
2026-06-19 17:23:36,cartservice,3.6578,4,N/A,4,SKIPPED,Cooldown: 59s remaining
2026-06-19 17:23:36,checkoutservice,3.6359,4,N/A,4,SKIPPED,Cooldown: 59s remaining
2026-06-19 17:23:36,currencyservice,3.5914,4,N/A,4,SKIPPED,Cooldown: 59s remaining
2026-06-19 17:23:36,emailservice,3.6068,4,N/A,4,SKIPPED,Cooldown: 59s remaining
